year,d14c,sig_d14c,growth_season
770,-25.7,1.82,october-march
771,-24,1.72,
772,-23.73,1.26,
773,-21.91,1.28,
774,-23.44,1.73,
775,-11.62,1.91,
776,-6.46,1.3,
777,-9.7,1.78,
778,-11.17,1.76,
779,-10.31,1.33,
780,-11.1,1.27,
781,-10.5,1.24,
782,-10.67,1.76,
783,-8.63,1.74,
784,-9.68,1.76,
785,-9.31,1.73,
786,-12.33,1.77,
787,-14.44,1.83,
