year,d14c,sig_d14c
-7180,80.76666667,1.29110633
-7179,80.92333333,1.30804774
-7178,82.15,1.234148379
-7177,83.16666667,1.042955203
-7176,98.07666667,1.113078813
-7175,99.36,0.943621864
-7174,99.05,1.10067656
-7173,96.17333333,0.956881509
-7172,95.85666667,1.040961094
-7171,95.32666667,0.941381963
-7170,91.99666667,1.231498635
-7169,91.21,1.177874734
-7168,91.55958333,1.395313585
-7167,91.44333333,1.345668979
-7166,89.44666667,1.346060094
-7165,87.21333333,1.387219441
-7164,87.31333333,1.36238761
-7163,88.58,1.402553227
-7162,84.23333333,1.35241348
-7161,84.14,1.400087299
-7160,86.17,1.347384297
-7159,84.33333333,1.498324991
-7158,82.07333333,1.496852253
-7157,83.25333333,1.488597401
-7156,85.73,1.508811158
-7155,84.86,1.498629003
-7154,85.42,1.503599385
-7153,84.36,1.505722418
-7152,83.26,1.512213242
-7151,82.38208333,1.912968897
-7150,84.50333333,1.498999666
-7149,83.66083333,2.88
-7148,82.70333333,1.761192778
-7147,83.51333333,1.759893463
