year,d14c,sig_d14c
-5490,86.7,2.2
-5489,80.4,2.5
-5488,85.2,2.2
-5487,81.3,3.7
-5486,83.5,2.3
-5485,78.3,1.5
-5484,82.5,1.9
-5483,83.6,1.6
-5482,82,1.9
-5481,84.2,2
-5480,88.8,1.9
-5479,88.8,1.7
-5478,90.1,1.8
-5477,90.2,1.5
-5476,89.9,1.9
-5475,94.8,1.7
-5474,96.4,2.3
-5473,101.2,1.7
-5472,99.8,2.3
-5471,104.5,2.5
-5470,101.3,2.2
-5469,98.5,1.8
-5468,102.1,2.3
-5467,100.2,1.7
-5466,101.2,2.3
-5465,102.1,1.8
-5464,100.5,2.3
-5463,102.2,1.8
-5462,102.7,2.3
-5461,101.1,1.7
-5460,102,2.3
-5459,103,2.3
-5457,104.8,2.4
-5455,104.1,2.4
-5453,98.2,2.4
-5451,98.6,2.4
-5449,99.9,2.4
-5447,97.8,2.4
-5445,100.5,2.3
-5443,97.6,2.4
-5441,95,2.3
-5439,93,2.3
-5437,99.7,2.3
-5435,95.2,2.3
-5433,96.1,2.3
-5431,92.2,2.3
-5429,90.8,2.3
-5427,95.1,2.4
-5425,87.8,2.4
-5423,89.6,2.3
-5421,86.7,2.3
-5420,91.93333333,1.561338457
-5419,92.86666667,3.4
-5418,93.3,1.468937636
-5417,90.25416667,2.232711356
-5416,94.63333333,1.545243598
-5415,91.40416667,2.102379604
-5414,90.26666667,1.657977349
-5413,87.55416667,2.03039405
-5412,90.9,1.419702629
-5411,90.23333333,1.426728971
-5410,97.1,1.510702559
-5409,96.78333333,1.507864568
-5408,98.76666667,1.614173335
-5407,95.26666667,1.442621071
-5406,96.7,1.614173335
-5405,92.83333333,1.459379625
-5404,91.53333333,1.637749133
-5403,92.36666667,1.470661227
-5402,92.23333333,1.672655905
-5401,92.1,1.439618005
-5400,89.16666667,1.580435945
-5399,91.54166667,1.8
-5398,91.66666667,1.811767093
-5397,92.84166667,2.5
-5396,91.76666667,1.923538406
-5395,87.94166667,1.8
-5394,90.14166667,2.4
-5393,85.64166667,2.4
-5392,90.64166667,2.4
-5391,88.14166667,2.4
-5390,90.04166667,1.8
-5389,88.44166667,2.4
-5388,90.44166667,1.8
-5387,86.14166667,2.4
-5386,91.64166667,1.8
-5385,87.74166667,2.4
-5384,88.94166667,2.4
-5383,84.44166667,2.4
-5382,87.34166667,2.4
-5381,85.54166667,2.3
