year,d14c,sig_d14c
770,-21.1,2.3
771,-21.2,2.3
772,-18.4,2.3
773,-24.9,2.3
774,-11.3,2.3
775,-6.9,2.3
776,-3.2,2.3
777,-4.6,2.3
778,-7.6,2.3
779,-6,2.3
780,-10.2,2.3
