year,d14c,sig_d14c
770,-22.7,3.2
771,-17.5,3.1
772,-22.3,3.1
773,-22.8,3
774,-15.5,3.1
775,-6.5,3.1
776,-6.6,3
777,-8.5,3.6
778,-6.7,3.1
779,-5.9,3.1
780,-7.4,3.1
