year,d14c,sig_d14c
770,-18.1,3.5
771,-15.2,4
772,-17.2,3.5
773,-18.3,3.5
774,-11.6,3.5
775,-2.4,4.9
776,2.2,3.6
777,1.6,3.5
778,0.4,3.8
779,0,3.6
780,-6.1,3
