year,d14c,sig_d14c
771,-19.6,2.3
772,-21.5,2.3
773,-20.2,2.2
774,-12.7,2.3
775,-2.8,2.3
776,-6.1,2.3
777,-2.6,2.2
778,-3.8,2.2
779,-6,2.3
780,-6.2,2.3
