year,d14c,sig_d14c
1270,-12.7,1.7
1271,-9.2,1.7
1272,-12.4,1.4
1273,-10.2,1.7
1274,-10.4,1.3
1275,-4.8,2
1276,-11,1.9
1277,-10.9,1.8
1278,-13.2,2
1279,-4.2,1.8
1280,-10.1,1.7
1281,-5.6,1.8
1282,-8.1,1.8
1283,-3.5,1.8
1284,-4.5,1.8
1285,-6.1,1.2
1286,-3,1.7
1287,-3.1,1.8
1288,-4.3,1.8
1289,0.6,1.8
1290,-6.1,1.8
