year,d14c,sig_d14c
1696,16.33309349,1.290942328
1697,18.23625049,1.416552544
1698,17.14186919,1.440606841
1699,17.94770162,1.41615112
1700,17.49519443,1.147833961
1701,19.13829798,1.372949003
1702,14.59322977,1.05823653
1703,17.91980923,1.201403257
1704,19.52975319,1.247127256
1705,16.4496773,1.660686788
1706,14.3044435,1.698751482
1707,14.93955231,1.105980969
1708,15.51184806,1.564975235
1709,16.9069764,1.790269685
1710,17.48038153,1.292399609
1711,18.52947338,1.125624107
1712,13.88403963,1.606453011
1713,17.61780904,1.612368998
1714,17.87478653,1.612776167
1715,16.67531964,1.610875667
1716,17.81860548,1.752238992
1717,15.81800339,1.265960493
1718,17.0025253,1.076126163
1719,16.41546398,1.291046955
1720,14.81758946,1.264713729
1721,13.60069502,1.606004064
1722,12.72139102,1.5154658
1723,13.48166552,1.605815467
1724,13.0227364,1.286737525
1725,12.98427077,1.437793815
1726,17.9178268,2.02747233
1727,14.25323227,2.525216562
1728,11.60878216,2.518632596
1729,12.74637051,2.269318395
1730,10.60895261,2.51614329
1731,5.592717622,1.752557954
1732,7.099581368,2.005924723
1733,8.859850708,2.511788499
1734,8.989003247,2.888926562
1735,7.361001817,2.50805677
1736,7.36455139,2.633468888
1737,7.242705057,2.633150356
1738,7.246254213,2.256993972
1739,6.56039994,1.692752671
1740,5.624608147,2.253360257
1741,1.131498638,1.68362278
1742,5.506515296,2.25309564
1743,5.572646492,1.632150284
1744,2.763565902,2.246949357
1745,4.328700945,1.72901527
1746,7.400047803,1.596179422
1747,6.90208982,2.256222783
1748,4.526875176,2.250900505
1750,5.034282556,1.548828569
1751,2.538663653,1.747235316
1752,4.66609317,2.251212458
1753,6.213320841,1.425128428
1754,4.423067991,2.250667898
1755,3.614191894,1.699318914
1756,3.180544532,1.542184223
1757,4.183639964,1.728765538
1758,6.189295416,1.351640861
1759,5.253848636,1.592778867
1760,4.694414132,1.729644868
1761,4.572890768,1.59169992
1762,2.577522721,2.24653248
1763,-0.658701549,2.114876394
1764,2.959082812,2.247387463
1765,2.089010468,2.245437842
1766,1.469000609,2.244048551
1767,-0.644616219,2.23931245
1768,-0.765493798,2.239041592
1769,0.1091481,2.241001452
1770,-0.011820651,2.240730391
1771,1.237332706,2.24352944
1772,-0.129251602,1.742585644
1773,1.493702548,1.586821087
1774,-1.241819441,2.113642359
1775,1.126810237,2.243281786
1776,2.564577079,1.588517839
1777,1.38315178,1.6205628
1778,0.265376502,2.241351522
1779,-0.353505043,2.239964759
1780,-1.407188085,1.538901809
1781,-5.064140808,1.576430483
1784,-7.774757986,2.223335535
1785,-7.27706241,1.977289556
1786,-7.767765495,3.087987783
1787,-8.134759884,2.222528859
1788,-10.22810782,2.464264639
1789,-6.521299342,2.226144232
1790,-7.259572321,2.224489941
1791,-7.132483363,2.471971907
1792,-10.70689455,2.463072589
1793,-7.743291386,2.223406044
1794,-9.344295297,2.219818584
1795,-9.71070658,2.58883047
1796,-9.337313867,2.219834228
1797,-5.008046673,2.229535063
1798,-4.137118332,1.577899308
1799,-1.029483642,2.238450055
1800,-0.155072818,2.240409397
1801,-5.05595312,1.666326796
1802,-2.51012531,1.670590535
1803,-3.375453086,2.233193308
1804,-1.509201761,2.237375124
1805,-1.505683443,2.237383007
