year,d14c,sig_d14c
770,-21.6,1.4
771,-22.1,1.4
772,-24.5,1.4
773,-19.2,1.4
774,-12.2,1.2
775,-8.6,1.2
776,-9.4,1.4
777,-8.9,1.4
778,-12.2,1.4
779,-10.4,1.5
780,-8.8,1.4
