year,d14c,sig_d14c
1570,6.5,2.5
1569,5.6,2.3
1568,4.4,2.5
1567,7.4,2.3
1567,0.3,2.5
1566,5.5,2.3
1566,10.8,2.3
1565,7.0,2.5
1564,5.5,2.6
1563,5.1,2.3
1562,5.9,2.3
1561,6.9,2.5
1560,3.1,2.5
1559,7.5,2.3
1558,8.5,2.3
1557,5.6,2.5
1556,9.1,2.5
1555,9.4,2.1
1554,9.2,2.3
1553,7.3,2.3
1552,13.3,2.6
1551,9.7,2.6
1550,9.0,2.3
1550,7.3,2.3
1550,12.7,2.8
1549,11.6,2.8
1548,12.1,2.3
1547,12.6,2.3
1546,8.8,2.5
1545,11.0,2.3
1544,8.7,2.3
1543,10.2,2.1
1542,11.1,2.3
1542,8.8,2.3
1541,14.5,2.1
1541,9.9,2.1
1540,13.1,2.3
1540,7.3,2.3
1539,15.0,2.3
1539,9.2,2.6
1538,12.6,2.5
1538,12.2,2.3
1537,14.6,2.3
1537,16.5,2.2
1536,12.4,2.5
1536,10.4,2.3
1535,13.1,2.3
1535,11.6,2.3
1534,13.4,2.5
1534,9.0,2.3
1533,13.4,2.1
1533,11.0,2.3
1532,14.8,2.5
1532,14.2,2.3
1531,14.3,2.1
1530,11.5,2.3
1529,12.8,2.3
1528,12.5,2.1
1527,11.5,2.3
1526,12.4,2.3
1525,6.0,2.5
1525,15.0,2.3
1524,10.0,2.3
1523,10.1,2.3
1522,9.1,2.6
1521,11.0,2.6
1520,8.5,2.3
1519,6.5,2.6
1517,11.6,2.3
1516,9.2,2.3
1515,8.5,2.1
1514,10.0,2.3
1513,10.5,2.3
1512,10.0,2.3
1511,6.9,2.1
1510,8.6,2.3
1744.5,2.1,2.5
1734.5,6.8,2.3
1724.5,11.2,2.5
1714.5,15.8,2.7
1714.5,17.3,2.3
1704.5,16.4,1.8
1694.5,16.6,2.3
1684.5,11.8,2.5
1674.5,14.0,2.1
1664.5,7.7,2.3
1664.5,10.2,2.3
1654.5,6.3,2.3
1644.5,4.7,2.3
1634.5,3.4,2.5
1624.5,-2.7,2.5
1614.5,-3.7,2.2
1604.5,0.5,2.5
1594.5,-1.8,2.2
1584.5,4.8,2.1
1574.5,4.7,2.3
1564.5,5.4,2.5
1554.5,7.8,2.3
1544.5,10.3,2.5
1534.5,16.0,2.5
1524.5,12.7,2.6
1514.5,9.8,2.3
1504.5,11.6,2.3
1135.5,-12.9,2.5
1115.5,-17.4,2.4
1105.5,-15.1,2.2
1095.5,-13.8,2.5
1085.5,-9.9,2.2
1075.5,-3.5,2.2
1075.5,-9.7,2.0
1065.5,-8.5,1.7
1055.5,-6.1,2.0
1045.5,-6.5,2.5
1035.5,-6.6,2.2
934.5,-20.6,2.6
924.5,-18.7,2.4
914.5,-12.3,2.5
904.5,-10.8,2.6
894.5,-13.8,2.6
884.5,-17.2,2.7
874.5,-16.0,2.4
864.5,-16.4,2.6
854.5,-14.8,2.5
854.5,-21.2,2.7
844.5,-16.9,2.6
834.5,-12.4,2.5
824.5,-13.9,2.5
814.5,-10.2,2.5
804.5,-10.5,2.6
794.5,-12.1,2.6
794.5,-16.3,2.4
794.5,-12.1,2.6
784.5,-4.6,2.1
774.5,-12.7,2.6
764.5,-16.3,2.4
754.5,-19.1,2.4
754.5,-18.4,2.6
744.5,-9.1,2.6
734.5,-5.9,2.1
724.5,-6.7,2.5
714.5,-9.2,2.2
704.5,-10.6,2.6
694.5,-5.2,2.6
684.5,-12.5,2.8
674.5,-10.5,2.7
664.5,-11.5,2.7
654.5,-13.9,2.6
644.5,-15.9,2.7
634.5,-23.2,2.6
634.5,-21.5,2.7
624.5,-19.2,2.6
614.5,-17.8,5.1
604.5,-17.8,2.4
594.5,-21.2,2.7
584.5,-18.3,2.6
574.5,-19.8,2.7
564.5,-17.8,2.6
554.5,-18.9,2.7
544.5,-14.1,2.5
544.5,-18.6,2.6
534.5,-22.6,2.6
524.5,-23.6,2.6
524.5,-26.4,2.1
514.5,-21.9,2.2
504.5,-21.6,2.4
494.5,-18.1,2.1
484.5,-16.9,2.7
474.5,-15.6,2.5
464.5,-16.6,2.6
454.5,-15.5,2.6
444.5,-11.5,2.6
434.5,-10.8,2.6
424.5,-16.7,2.1
414.5,-18.1,2.6
404.5,-20.2,2.4
394.5,-19.0,2.1
384.5,-19.7,1.7
374.5,-21.1,1.7
374.5,-24.0,2.6
364.5,-16.6,2.4
354.5,-18.3,2.6
344.5,-17.0,2.4
334.5,-19.6,2.6
324.5,-17.7,2.7
314.5,-22.9,2.6
304.5,-21.4,2.6
294.5,-14.5,2.5
284.5,-17.7,2.6
274.5,-10.5,2.5
264.5,-7.5,2.6
254.5,-11.6,2.5
254.5,-18.2,2.6
244.5,-14.2,2.7
244.5,-13.6,2.5
234.5,-17.3,2.7
264.5,-8.7,2.6
254.5,-17.0,2.4
244.5,-15.3,2.1
234.5,-18.6,2.6
224.5,-17.6,2.7
214.5,-18.2,2.7
204.5,-16.9,2.6
204.5,-21.2,2.6
194.5,-14.1,2.7
184.5,-11.4,2.5
174.5,-13.1,2.6
164.5,-13.1,2.8
154.5,-11.9,2.5
144.5,-10.2,2.6
134.5,-6.7,2.5
134.5,-10.4,2.5
124.5,-16.4,2.4
124.5,-15.0,2.2
124.5,-15.9,2.8
114.5,-14.5,2.8
104.5,-13.4,2.7
94.5,-5.1,2.5
94.5,-11.6,2.1
84.5,-9.3,2.6
74.5,-13.3,2.6
74.5,-9.7,2.5
64.5,-12.8,1.7
54.5,-16.1,2.0
54.5,-9.3,2.5
44.5,-14.9,2.6
34.5,-8.1,3.1
24.5,-14.3,2.5
14.5,-15.3,1.7
4.5,-9.8,2.0
4.5,-14.1,2.6
-3.5,-16.8,2.6
-3.5,-19.8,2.7
-13.5,-9.0,2.6
-13.5,-12.5,2.0
-23.5,-12.8,2.6
-33.5,-5.8,2.6
-33.5,-13.1,1.7
-43.5,-16.0,2.7
-43.5,-13.8,2.1
-53.5,-10.2,2.5
-53.5,-17.3,2.6
-63.5,-15.7,2.6
-63.5,-16.0,2.7
-73.5,-14.7,2.7
-83.5,-8.3,2.6
-83.5,-9.7,2.6
-93.5,-13.6,2.5
-103.5,-8.7,2.6
-113.5,-8.4,2.7
-123.5,-10.2,2.7
-133.5,-7.2,2.7
-143.5,-5.7,2.1
1314.5,-0.2,2.5
1304.5,0.8,2.2
1304.5,1.8,2.1
1294.5,-3.0,2.5
1284.5,-8.2,2.2
1274.5,-13.7,2.5
1264.5,-11.0,2.2
1254.5,-16.7,2.2
1244.5,-14.5,2.2
1234.5,-13.4,2.2
1224.5,-8.9,2.2
1224.5,-13.2,2.2
1214.5,-14.5,2.2
1204.5,-17.6,2.2
1194.5,-15.2,2.2
1184.5,-17.7,2.1
1174.5,-15.7,2.2
1164.5,-10.5,2.2
1164.5,-12.8,2.5
1154.5,-16.5,2.2
1144.5,-21.8,2.2
1144.5,-23.6,2.4
1134.5,-14.6,2.7
1124.5,-13.8,2.5
1114.5,-15.5,2.6
1104.5,-15.7,2.2
1094.5,-13.4,2.5
1084.5,-7.1,2.5
1084.5,-10.4,1.7
1074.5,-5.7,2.5
1064.5,-6.8,2.2
1054.5,-8.2,2.5
1044.5,-4.7,2.2
1034.5,-8.2,2.5
1024.5,-9.3,2.2
1014.5,-14.8,2.5
1004.5,-10.3,2.5
994.5,-14.6,2.1
984.5,-15.8,2.1
974.5,-21.6,2.4
964.5,-19.5,2.4
954.5,-18.9,2.6
944.5,-17.5,2.4
929.5,-17.4,2.4
909.5,-7.7,2.5
909.5,-10.0,2.5
889.5,-15.3,2.5
869.5,-18.6,2.1
849.5,-14.3,2.1
829.5,-11.5,2.2
809.5,-10.7,2.5
789.5,-6.4,2.2
789.5,-3.1,2.2
774.5,-13.1,2.6
764.5,-15.8,2.5
754.5,-12.4,2.2
744.5,-13.1,2.5
734.5,-10.8,2.5
1504.5,7.4,2.1
1504.5,13.5,2.3
1494.5,8.7,2.3
1494.5,13.7,2.3
1484.5,9.0,2.1
1474.5,9.0,2.3
1464.5,9.6,2.3
1454.5,11.7,2.3
1454.5,11.5,2.3
1444.5,9.2,2.0
1434.5,4.1,2.2
1424.5,1.3,2.1
1414.5,0.0,2.2
1404.5,-4.3,2.1
1394.5,-4.4,2.2
1384.5,-11.0,2.2
1384.5,-9.7,2.5
1374.5,-12.2,2.6
1374.5,-10.9,2.6
1364.5,-4.7,2.5
1364.5,-4.0,2.5
1354.5,-5.4,2.7
1354.5,-4.1,2.6
1344.5,0.5,2.7
1344.5,1.0,2.6
1334.5,3.9,2.2
1334.5,5.8,2.3
1324.5,0.7,2.5
1324.5,-1.9,2.5
1314.5,-1.4,2.1
1305,-3.0,2.5
-514.5,-3.0,2.2
-524.5,-9.2,2.2
-534.5,-1.3,2.2
-534.5,-4.4,2.6
-544.5,-7.7,2.6
-544.5,-5.7,2.8
-554.5,-6.0,2.2
-564.5,-5.9,2.8
-574.5,-4.5,2.9
-584.5,0.9,2.9
-594.5,-5.0,2.2
-604.5,-4.1,2.5
-614.5,0.0,2.1
-624.5,-0.9,2.2
-634.5,2.8,2.7
-644.5,4.8,2.6
-654.5,6.0,2.8
-654.5,7.6,2.3
-6475,73.1,3.1
-6497.5,67.5,4.1
-6497.5,68.8,4.1
-6513,65.5,4.1
-6513,55.4,4.1
-6536.5,61.7,4.1
-6553.5,73.8,3.9
-6553.5,77.7,4.0
-6575.5,62.7,4.1
-6598.5,68.1,4.1
-6627.5,65.4,3.6
-6645,66.8,4.0
-6660.5,59.9,4.2
-6674.5,73.0,4.1
-6674.5,67.6,4.3
-6692.5,62.7,4.1
-6700,60.5,4.0
-6714.5,64.7,4.1
-6720,63.3,4.1
-6740,68.7,4.0
-6754.5,65.6,4.1
-6755,70.2,4.3
-6760,69.3,4.0
-6766,67.5,4.3
-6786,70.2,4.3
-6803,73.1,4.3
-6815,70.0,3.9
-6829.5,64.7,4.5
-6851.5,68.2,4.3
-6870,66.7,4.1
-6875,73.0,3.5
-6895,80.5,8.7
-6900,78.5,4.2
-6920,81.8,4.2
-6932.5,86.2,6.4
-6938.5,87.4,4.2
-6960,88.6,4.6
-6962.5,93.3,6.0
-6962.5,77.9,6.2
-6985,86.9,4.7
-7000,95.6,5.7
-7012.5,88.9,4.2
-7012.5,103.8,4.3
-7012.5,89.6,3.9
-7015,110.2,4.4
-7030,88.1,4.2
-7050,91.7,4.2
-7060,83.3,4.2
-7085,81.8,4.0
-7110,78.6,4.2
-7134.5,89.7,4.1
-7145,81.6,4.2
-7165,89.5,4.3
-7175,90.9,4.3
-7188.5,88.4,4.2
-7198.5,79.6,7.1
44.5,-16.7,1.7
44.5,-19.0,2.6
34.5,-11.0,2.7
24.5,-13.3,2.6
14.5,-13.1,2.7
4.5,-11.1,2.7
-4.5,-18.5,2.6
-14.5,-11.6,2.6
-24.5,-14.4,2.5
-34.5,-8.0,2.7
-34.5,-6.4,2.6
-34.5,-10.7,2.0
-44.5,-10.0,2.6
-54.5,-14.8,2.6
-54.5,-19.6,2.4
-64.5,-16.1,2.4
-74.5,-13.2,2.7
-84.5,-13.1,2.6
-94.5,-12.8,2.6
-104.5,-12.4,2.1
-114.5,-13.2,2.0
-124.5,-13.9,2.0
-134.5,-9.5,2.6
-144.5,-9.6,2.6
-154.5,-5.6,2.7
-164.5,-7.3,2.6
-164.5,-4.8,2.6
-174.5,-11.9,2.7
-184.5,-10.5,2.7
-194.5,-6.2,2.5
-194.5,-4.7,2.6
-204.5,-10.3,2.5
-214.5,-12.8,2.6
-214.5,-16.9,2.4
-214.5,-16.6,2.4
-224.5,-7.9,2.0
-234.5,-12.6,2.5
-234.5,-16.3,2.0
-244.5,-12.4,2.0
-254.5,-9.4,2.6
-264.5,-13.7,2.6
-274.5,-8.0,2.6
-274.5,-7.6,2.6
-284.5,-8.8,2.5
-294.5,-7.9,2.5
-294.5,0.4,2.6
-304.5,-0.2,2.6
-314.5,0.1,2.6
-324.5,3.6,2.6
-324.5,6.6,2.6
-334.5,7.2,2.6
-344.5,7.1,2.6
-344.5,6.5,2.6
-354.5,1.9,2.6
-354.5,0.7,2.6
-364.5,-2.7,2.6
-364.5,-1.1,2.6
-374.5,1.5,2.6
-374.5,-1.6,2.6
-384.5,-1.2,2.6
-394.5,-5.1,2.6
-394.5,-6.4,2.7
-404.5,-10.4,2.0
-404.5,-11.6,2.1
-414.5,-16.8,2.6
-424.5,-13.7,2.7
-434.5,-16.7,2.6
-444.5,-15.8,4.3
-454.5,-16.0,4.2
-454.5,-22.5,4.1
-464.5,-12.0,3.2
-474.5,-6.1,2.7
-474.5,-6.3,2.7
-484.5,-8.6,2.7
-494.5,-6.4,2.0
-504.5,-5.8,2.7
-514.5,-10.9,4.2
-524.5,-5.1,6.3
-605.5,-2.0,2.7
-615.5,-1.0,2.7
-615.5,3.7,2.7
-630.5,5.1,2.6
-645.5,6.3,2.8
-660.5,13.5,2.6
-695.5,14.5,4.3
-705.5,15.4,4.4
-715.5,15.8,4.4
-730.5,18.1,2.7
-730.5,22.2,2.7
-750.5,21.8,2.8
-770.5,11.7,2.6
-785.5,13.8,2.0
-795.5,7.5,2.0
-805.5,3.8,2.1
-815.5,2.2,2.7
-825.5,3.0,2.1
-835.5,-3.8,2.1
-845.5,-4.0,2.1
-855.5,-2.7,2.7
-865.5,-0.5,2.6
-875.5,1.0,2.7
-885.5,5.9,2.8
-895.5,3.0,2.7
-905.5,-0.4,2.6
-915.5,0.4,2.7
-925.5,0.4,2.7
-935.5,-0.0,2.1
-945.5,-1.7,2.0
-955.5,-0.1,2.1
-965.5,9.0,2.8
-975.5,-0.1,2.0
-985.5,2.3,2.6
-995.5,5.5,2.6
-1005.5,4.6,2.8
-1015.5,1.3,2.6
-1025.5,0.3,2.9
-1035.5,2.6,2.7
-1045.5,7.6,2.8
-1055.5,-0.7,2.6
-1065.5,6.8,2.9
-1075.5,6.4,2.8
-1085.5,3.7,4.0
-1085.5,5.1,4.3
-1095.5,3.3,2.6
-1095.5,6.9,2.8
-1105.5,6.5,4.0
-1105.5,0.5,4.2
-1105.5,10.9,2.8
-1115.5,1.9,3.1
-1125.5,10.0,2.8
-1135.5,-0.3,2.6
-1135.5,-0.3,2.6
-1145.5,11.6,2.8
-1155.5,8.8,2.8
-1165.5,10.2,2.8
-1175.5,11.0,3.4
-1185.5,18.3,2.8
-1195.5,3.7,3.4
-1195.5,10.8,4.3
-1205.5,18.6,2.9
-1215.5,8.9,2.6
-1215.5,4.5,2.6
-1215.5,19.1,2.8
-1225.5,10.5,2.8
-1235.5,16.4,2.9
-1245.5,14.4,2.8
-1255.5,16.3,2.3
-1265.5,10.8,2.9
-1275.5,12.8,2.8
-1285.5,18.9,2.9
-1295.5,14.9,2.8
-1305.5,17.1,2.9
-1315.5,16.7,2.9
-1325.5,13.0,4.0
-1325.5,13.0,4.3
-1325.5,3.6,4.4
-1335.5,16.8,2.8
-1345.5,20.0,2.9
-1355.5,17.7,2.8
-1365.5,24.2,2.7
-1375.5,18.2,2.7
-1385.5,18.9,2.7
-1395.5,16.8,2.0
-1405.5,20.3,2.7
-1415.5,12.8,2.6
-1425.5,20.4,2.8
-1435.5,10.7,2.6
-1435.5,17.9,2.8
-1445.5,15.4,2.0
-1455.5,7.4,2.6
-1455.5,19.4,2.7
-1465.5,9.4,2.6
-1465.5,15.4,2.8
-1475.5,14.5,2.0
-1485.5,19.3,2.2
-1495.5,18.7,4.1
-1495.5,10.4,4.3
-1505.5,13.8,2.7
-1515.5,14.6,2.8
-1525.5,13.1,2.6
-1535.5,9.9,2.8
-1545.5,11.6,2.8
-1555.5,12.8,2.8
-1565.5,11.9,6.7
-1565.5,13.6,6.6
-1575.5,22.9,6.6
-1575.5,11.3,6.7
-1585.5,16.8,2.9
-1595.5,21.3,2.3
-1605.5,16.2,2.2
-1615.5,17.3,2.3
-1625.5,15.6,2.1
-1635.5,16.2,2.9
