year,d14c,sig_d14c
-5272,94.75,2.28
-5271,99.48,1.77
-5270,96.43,2.27
-5269,94.76,1.76
-5268,95.5,1.77
-5267,94.67,1.77
-5266,95.15,1.77
-5265,98.28,1.77
-5264,95.86,1.77
-5263,95.47,1.76
-5262,93.07,1.78
-5261,94.42,1.77
-5260,91.68,1.78
-5259,110.72,1.83
-5258,113.44,1.79
-5257,111.24,1.79
-5256,112.18,1.79
-5255,107.03,1.83
-5254,104.74,1.78
-5253,104.72,1.8
-5252,102.86,1.76
-5251,98.48,1.76
-5250,97.72,1.76
-5249,97.46,1.76
-5248,96.39,1.77
-5247,96.62,1.77
