,0
0,21.592844855610018
1,19.66758068314415
2,18.158655086830354
3,16.226323077556696
4,12.489357956652531
5,7.172849124834647
6,8.32299519707791
7,8.407659847665201
8,11.2467135284718
9,15.281321084481107
10,18.151590603180967
11,21.21632343061839
12,20.330459255851395
13,17.600489945851734
14,14.582566264112916
15,10.9254606169896
16,9.438651845774656
17,6.811403494424666
18,8.39351029074543
19,9.921725445272315
20,11.670896611852879
21,17.96024304927747
22,19.88637548048455
23,18.05976971430135
24,18.963061278481764
25,11.888209023967924
26,9.836605916295246
27,6.956104906304861
28,7.751016886749224
29,8.756750144288567
30,10.144496933563774
